title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
8382,The Monkey King’s Journey to the Murim,FANTASY,"young hwan,Kim Byung Jin,millyeob",WEDNESDAY,6,8238,5.5,44371,3319,ONGOING,"The Monkey King’s  journey was over. 

But a new story begins with an impossible crime -- his master, Sanzang, has gone missing. His new mission is to dive into the Murim, a world where mortals and their martial arts rival the power of the gods and unravel this mystery.

The threads of fate reveal not only allies, but foes from his past. 
The Great Sage, Heaven’s Equal has been unchained, but this new arduous journey may yet prove to be his most challenging yet...

"
8381,Ghost Dating Simulation,ROMANCE,DONG9,SUNDAY,7,21893,8.33,162854,11893,ONGOING,"Struggling streamer Doyeon Choi downloads a mysterious dating sim game, Heart-Racing Ghost Dating Sim, only to find himself trapped in a deadly loop-- where the love interests are real-life ghosts with unresolved deaths. From haunted highways to murder cases, Doyeon must navigate a world where romance, horror, and mystery collide. Every wrong move could cost him his life...again."
8380,Island of Stars and Chains,ACTION,"Megi,HOOLLI",WEDNESDAY,8,16671,8.57,120519,8539,ONGOING,"The bond of family can be a star that guides us in the night, or a chain that drags us down. For aspiring hunter Seunghyeon Gi, both are true. He dreams of becoming a legendary hunter like his father, despite his bitterness at his family’s preoccupation with his comatose sister, Sohyeon. Everything changes when Sohyeon suddenly regains consciousness and reveals herself as a ‘Homecomer’, possessing powerful abilities from transmigrating to another world while comatose. Seunghyeon realizes that if he wants to protect his sister, he'll need to grow stronger, and there’s no better place than the Seonghan Academy for the Gifted…"
8378,Timeline,ROMANCE,hutdul,THURSDAY,4,15314,5.0,192819,16858,COMPLETED,"Ha-yoon’s freshman year of college isn’t particularly noteworthy. She became a fashion design major because it was a good fit for her GPA, she has no friends except the incredibly popular and gorgeous Soo-ah, and she has a crush on handsome upperclassman Jihoon. She’s content with her life as it is, but everything changes with a single post online. Now, a whole world of greed and fame built on social media awaits her, and Ha-yoon is determined to find her place within it. Will Ha-yoon find love and success in the cutthroat society of influencers?"
8377,When the Archduke’s Leash Is Pulled,ROMANCE,SANGCHU,SUNDAY,8,117681,7.88,1467766,58141,ONGOING,"Jenna, a girl cursed to see others’ emotions as light, awakens as an extra in a novel.
Yearning for a quiet life, she settles in a forest cabin—only to discover it belongs to Enoch Winchester, a cursed duke cloaked in an ominous black light.
When Enoch realizes Jenna may hold the key to breaking his curse, he proposes a contract: she must spend time with him each day and come whenever he calls.
Jenna agrees, but with one condition—he must appear in the form of a snow leopard whenever they're together.
"
8376,Containment Zone Management,SF,Tan,FRIDAY,4,22014,9.37,103233,10274,ONGOING,"Welcome to the Containment Zone, where every space is warped by anomalies and bound by deadly rules. From unholy hospitals to sinister arcades, the four-man team of Department 2 ventures in daily to study the spaces and bring back supplies. Things are always guaranteed to get bizarre, but the job has to be done... no matter how many deaths it causes."
8375,Playing the Perfect Fox-Eyed Villain,ACTION,"guensil-cheungnyuen,80,Bomgaeul",TUESDAY,8,25697,8.41,197481,13816,ONGOING,"Shihu Lee has logged 20,000 hours playing Let's Kill the Demon Lord! for the past 5 years. But when the game takes a turn he doesn't like, Shihu cancels his pre-order of the DLC in anger, only to find himself sucked into the game! Now in the body of Julian Kreipart Prason, the villain, he has to play the part perfectly to survive the many enemies around him while unable to use the moonlight blade, Julian's signature ability. Under the watchful eye of Eileen, the genius gold mage, and his family members who want him gone, can Julian make it?"
8374,Elegant Aubrey,ROMANCE,"TanG,NUL,Kim Karol",TUESDAY,7,64686,8.14,409972,31431,ONGOING,"Aubrey Sandalwood had one goal: to hide her past as a slave, and become the perfect lady in high society. But at her long-awaited debut party, she runs into a man from her past— the boy who rescued her from the island she was trapped on. Colhard Karnus, the only one who knows her secret.

""This series contains themes regarding child abuse and trauma that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."" 

"
8373,The Secretary’s Secret,ROMANCE,"jungmi,RoseBean",MONDAY,6,78928,8.45,487552,25703,ONGOING,"She was sent to spy on him. Falling for him was never part of the plan.
Hyewon Yoon works tirelessly to secure her future, but loyalty comes at a cost. Vice President Jiseok Ha makes her track every move of his cousin, Executive Director Taebeom Ha.
Taebeom knows she’s spying on him. But instead of pushing her away, he keeps her close. What begins as a cold arrangement shifts into something unpredictable. Their worlds were never meant to intertwine, but the more they fight it, the more inevitable it feels. Is it just proximity -- or something deeper?
"
8372,Return to My Dark Past,ROMANCE,"2F,showmae",SUNDAY,4,17107,9.19,71290,4803,ONGOING,"What if you could undo your dark past? Chaebom Yu, a burned-out office worker, wakes up as her 17-year-old self, given a second chance to rewrite her life. She enters high school determined to avoid the mistakes that once haunted her. But the more she tries to fix things, the weirder her life becomes. Money starts slipping away, and strange boys keep showing up… Her “do-over” begins to feel just as messy as before! Can Chaebom truly escape her past, or is she just trading one chaotic life for another?
"
